gene_id	colors
ENSG00000134333	turquoise
ENSG00000134343	turquoise
ENSG00000134531	turquoise
ENSG00000134686	turquoise
ENSG00000134762	turquoise
ENSG00000134871	turquoise
ENSG00000135048	turquoise
ENSG00000135678	turquoise
ENSG00000135821	turquoise
ENSG00000136237	turquoise
ENSG00000136378	turquoise
ENSG00000136383	turquoise
ENSG00000136436	turquoise
ENSG00000136478	turquoise
ENSG00000136546	turquoise
ENSG00000136928	turquoise
ENSG00000137124	turquoise
ENSG00000137265	turquoise
ENSG00000137393	turquoise
ENSG00000137672	turquoise
ENSG00000137767	turquoise
ENSG00000137801	turquoise
ENSG00000137880	turquoise
ENSG00000137942	turquoise
ENSG00000137959	turquoise
ENSG00000137962	turquoise
ENSG00000138073	turquoise
ENSG00000138074	turquoise
ENSG00000138166	turquoise
ENSG00000138193	turquoise
ENSG00000138356	turquoise
ENSG00000138385	turquoise
ENSG00000138604	turquoise
ENSG00000138615	turquoise
ENSG00000138744	turquoise
ENSG00000138771	turquoise
ENSG00000138829	turquoise
ENSG00000139132	turquoise
ENSG00000140511	turquoise
ENSG00000140545	turquoise
ENSG00000140807	turquoise
ENSG00000141298	turquoise
ENSG00000141401	turquoise
ENSG00000141576	turquoise
ENSG00000142279	turquoise
ENSG00000142871	turquoise
ENSG00000143028	turquoise
ENSG00000143127	turquoise
ENSG00000143196	turquoise
ENSG00000143382	turquoise
ENSG00000143869	turquoise
ENSG00000143878	turquoise
ENSG00000144285	turquoise
ENSG00000144362	turquoise
ENSG00000144583	turquoise
ENSG00000144724	turquoise
ENSG00000144857	turquoise
ENSG00000144891	turquoise
ENSG00000145244	turquoise
ENSG00000145337	turquoise
ENSG00000145390	turquoise
ENSG00000145506	turquoise
ENSG00000145569	turquoise
ENSG00000145604	turquoise
ENSG00000145675	turquoise
ENSG00000145734	turquoise
ENSG00000146122	turquoise
ENSG00000146233	turquoise
ENSG00000147027	turquoise
ENSG00000147119	turquoise
ENSG00000147526	turquoise
ENSG00000147576	turquoise
ENSG00000148082	turquoise
ENSG00000148120	turquoise
ENSG00000148175	turquoise
ENSG00000148730	turquoise
ENSG00000148926	turquoise
ENSG00000149131	turquoise
ENSG00000149218	turquoise
ENSG00000149591	turquoise
ENSG00000150907	turquoise
ENSG00000150938	turquoise
ENSG00000151690	turquoise
ENSG00000151726	turquoise
ENSG00000151729	turquoise
ENSG00000152377	turquoise
ENSG00000152583	turquoise
ENSG00000152601	turquoise
ENSG00000152779	turquoise
ENSG00000153162	turquoise
ENSG00000153207	turquoise
ENSG00000153904	turquoise
ENSG00000153936	turquoise
ENSG00000154027	turquoise
ENSG00000154127	turquoise
ENSG00000154262	turquoise
ENSG00000154529	turquoise
ENSG00000154734	turquoise
ENSG00000154736	turquoise
ENSG00000154856	turquoise
ENSG00000154930	turquoise
ENSG00000155324	turquoise
ENSG00000155511	turquoise
ENSG00000156427	turquoise
ENSG00000156675	turquoise
ENSG00000156804	turquoise
ENSG00000157110	turquoise
ENSG00000157150	turquoise
ENSG00000157152	turquoise
ENSG00000157214	turquoise
ENSG00000157483	turquoise
ENSG00000157510	turquoise
ENSG00000157514	turquoise
ENSG00000157617	turquoise
ENSG00000157680	turquoise
ENSG00000158122	turquoise
ENSG00000158246	turquoise
ENSG00000158555	turquoise
ENSG00000158716	turquoise
ENSG00000158747	turquoise
ENSG00000158813	turquoise
ENSG00000159167	turquoise
ENSG00000159200	turquoise
ENSG00000159212	turquoise
ENSG00000159399	turquoise
ENSG00000159884	turquoise
ENSG00000160190	turquoise
ENSG00000160200	turquoise
ENSG00000160256	turquoise
ENSG00000160613	turquoise
ENSG00000161647	turquoise
ENSG00000162337	turquoise
ENSG00000162426	turquoise
ENSG00000162493	turquoise
ENSG00000162496	turquoise
ENSG00000162545	turquoise
ENSG00000162614	turquoise
ENSG00000162616	turquoise
ENSG00000162630	turquoise
ENSG00000162704	turquoise
ENSG00000162772	turquoise
ENSG00000162878	turquoise
ENSG00000162998	turquoise
ENSG00000163017	turquoise
ENSG00000163083	turquoise
ENSG00000163110	turquoise
ENSG00000163171	turquoise
ENSG00000163251	turquoise
ENSG00000163378	turquoise
ENSG00000163430	turquoise
ENSG00000163431	turquoise
ENSG00000163513	turquoise
ENSG00000163637	turquoise
ENSG00000163661	turquoise
ENSG00000163697	turquoise
ENSG00000163803	turquoise
ENSG00000163884	turquoise
ENSG00000164050	turquoise
ENSG00000164104	turquoise
ENSG00000164105	turquoise
ENSG00000164125	turquoise
ENSG00000164292	turquoise
ENSG00000164330	turquoise
ENSG00000164442	turquoise
ENSG00000164647	turquoise
ENSG00000164684	turquoise
ENSG00000164930	turquoise
ENSG00000165030	turquoise
ENSG00000165072	turquoise
ENSG00000165124	turquoise
ENSG00000165125	turquoise
ENSG00000165507	turquoise
ENSG00000165802	turquoise
ENSG00000165995	turquoise
ENSG00000166106	turquoise
ENSG00000166165	turquoise
ENSG00000166260	turquoise
ENSG00000166263	turquoise
ENSG00000166289	turquoise
ENSG00000166483	turquoise
ENSG00000166741	turquoise
ENSG00000166825	turquoise
ENSG00000166979	turquoise
ENSG00000167191	turquoise
ENSG00000167460	turquoise
ENSG00000167549	turquoise
ENSG00000167641	turquoise
ENSG00000167642	turquoise
ENSG00000167645	turquoise
ENSG00000168079	turquoise
ENSG00000168209	turquoise
ENSG00000168309	turquoise
ENSG00000168461	turquoise
ENSG00000168481	turquoise
ENSG00000168556	turquoise
ENSG00000168621	turquoise
ENSG00000168646	turquoise
ENSG00000168874	turquoise
ENSG00000168952	turquoise
ENSG00000168994	turquoise
ENSG00000169047	turquoise
ENSG00000169184	turquoise
ENSG00000169218	turquoise
ENSG00000169271	turquoise
ENSG00000169504	turquoise
ENSG00000169715	turquoise
ENSG00000169738	turquoise
ENSG00000169764	turquoise
ENSG00000169908	turquoise
ENSG00000170017	turquoise
ENSG00000170214	turquoise
ENSG00000170485	turquoise
ENSG00000170584	turquoise
ENSG00000170775	turquoise
ENSG00000170802	turquoise
ENSG00000170873	turquoise
ENSG00000170921	turquoise
ENSG00000170962	turquoise
ENSG00000171385	turquoise
ENSG00000171793	turquoise
ENSG00000171819	turquoise
ENSG00000172260	turquoise
ENSG00000172318	turquoise
ENSG00000172349	turquoise
ENSG00000172403	turquoise
ENSG00000172465	turquoise
ENSG00000172954	turquoise
ENSG00000172985	turquoise
ENSG00000173083	turquoise
ENSG00000173221	turquoise
ENSG00000173517	turquoise
ENSG00000173598	turquoise
ENSG00000173706	turquoise
ENSG00000173838	turquoise
ENSG00000173918	turquoise
ENSG00000174306	turquoise
ENSG00000174437	turquoise
ENSG00000174697	turquoise
ENSG00000174705	turquoise
ENSG00000174804	turquoise
ENSG00000174899	turquoise
ENSG00000175066	turquoise
ENSG00000175471	turquoise
ENSG00000175899	turquoise
ENSG00000176170	turquoise
ENSG00000176597	turquoise
ENSG00000176971	turquoise
ENSG00000177283	turquoise
ENSG00000177425	turquoise
ENSG00000177426	turquoise
ENSG00000177666	turquoise
ENSG00000177674	turquoise
ENSG00000177706	turquoise
ENSG00000178209	turquoise
ENSG00000179094	turquoise
ENSG00000179300	turquoise
ENSG00000179593	turquoise
ENSG00000179820	turquoise
ENSG00000181061	turquoise
ENSG00000182107	turquoise
ENSG00000182552	turquoise
ENSG00000182575	turquoise
ENSG00000182704	turquoise
ENSG00000182836	turquoise
ENSG00000183044	turquoise
ENSG00000183309	turquoise
ENSG00000183570	turquoise
ENSG00000183578	turquoise
ENSG00000183688	turquoise
ENSG00000183779	turquoise
ENSG00000184307	turquoise
ENSG00000184743	turquoise
ENSG00000184985	turquoise
ENSG00000185022	turquoise
ENSG00000185112	turquoise
ENSG00000185432	turquoise
ENSG00000185499	turquoise
ENSG00000185551	turquoise
ENSG00000185561	turquoise
ENSG00000185813	turquoise
ENSG00000185950	turquoise
ENSG00000186575	turquoise
ENSG00000186918	turquoise
ENSG00000187079	turquoise
ENSG00000187134	turquoise
ENSG00000187193	turquoise
ENSG00000187210	turquoise
ENSG00000187239	turquoise
ENSG00000187498	turquoise
ENSG00000187758	turquoise
ENSG00000188452	turquoise
ENSG00000188916	turquoise
ENSG00000189058	turquoise
ENSG00000189221	turquoise
ENSG00000189320	turquoise
ENSG00000189367	turquoise
ENSG00000196136	turquoise
ENSG00000196507	turquoise
ENSG00000196569	turquoise
ENSG00000196616	turquoise
ENSG00000196730	turquoise
ENSG00000196781	turquoise
ENSG00000196826	turquoise
ENSG00000196850	turquoise
ENSG00000196924	turquoise
ENSG00000196975	turquoise
ENSG00000197043	turquoise
ENSG00000197312	turquoise
ENSG00000197381	turquoise
ENSG00000197415	turquoise
ENSG00000197594	turquoise
ENSG00000197769	turquoise
ENSG00000197943	turquoise
ENSG00000198431	turquoise
ENSG00000198467	turquoise
ENSG00000198542	turquoise
ENSG00000198624	turquoise
ENSG00000198793	turquoise
ENSG00000198947	turquoise
ENSG00000198959	turquoise
ENSG00000203623	turquoise
ENSG00000205364	turquoise
ENSG00000206190	turquoise
ENSG00000206538	turquoise
ENSG00000211445	turquoise
ENSG00000211448	turquoise
ENSG00000213064	turquoise
ENSG00000213160	turquoise
ENSG00000213178	turquoise
ENSG00000213626	turquoise
ENSG00000213639	turquoise
ENSG00000214944	turquoise
ENSG00000221866	turquoise
ENSG00000221869	turquoise
ENSG00000221968	turquoise
ENSG00000226103	turquoise
ENSG00000226531	turquoise
ENSG00000230018	turquoise
ENSG00000241399	turquoise
ENSG00000241697	turquoise
ENSG00000241978	turquoise
ENSG00000243244	turquoise
ENSG00000244274	turquoise
ENSG00000250251	turquoise
ENSG00000253276	turquoise
ENSG00000253304	turquoise
ENSG00000253368	turquoise
ENSG00000254692	turquoise
ENSG00000256235	turquoise
ENSG00000256861	turquoise
ENSG00000257390	turquoise
ENSG00000257411	turquoise
ENSG00000258818	turquoise
ENSG00000259040	turquoise
ENSG00000259171	turquoise
ENSG00000262655	turquoise
ENSG00000264230	turquoise
ENSG00000269823	turquoise
ENSG00000270885	turquoise
ENSG00000273259	turquoise
ENSG00000274276	turquoise
ENSG00000274419	turquoise
ENSG00000274944	turquoise
ENSG00000275131	turquoise
ENSG00000275246	turquoise
ENSG00000275482	turquoise
ENSG00000276910	turquoise
ENSG00000276920	turquoise
ENSG00000277196	turquoise
ENSG00000277399	turquoise
ENSG00000277626	turquoise
ENSG00000277758	turquoise
ENSG00000278062	turquoise
ENSG00000278545	turquoise
ENSG00000278817	turquoise
ENSG00000279767	turquoise
ENSG00000281289	turquoise
ENSG00000282003	turquoise
ENSG00000282086	turquoise
ENSG00000282087	turquoise
ENSG00000282752	turquoise
ENSG00000282844	turquoise
